Acetaminophen,"Acetaminophen is also found in many prescription combination drugs, including Butalbital, Endocet, Fioricet, Hycotab, Hydrocet, Hydrocodone bitartrate, Lortab, Percocet, Phenaphen, Sedapap, Tapanol, Tylenol with codeine, Tylox, Ultracet, Vicodin, and Zydone. Acetaminophen is a pain reliever and a fever reducer. ",Applies to the following strengths: 160 mg; 80 mg/0.8 mL; 160 mg/5 mL; 500 mg; 650 mg; 80 mg; 325 mg; 500 mg/15 mL; 120 mg; 120 mg/5 mL; 80 mg/5 mL; 10 mg/mL; 650 mg/25 mL; 80 mg/mL; 500 mg/5 mL; 48 mg/mL
Adderall,Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Adderall is used to treat narcolepsy and attention deficit hyperactivity disorder (ADHD). Adderall may also be used for purposes not listed in this medication guide. ,DEXTROAMPHETAMINE SACCHARATE 1.25mg AMPHETAMINE ASPARTATE MONOHYDRATE 1.25mg DEXTROAMPHETAMINE SULFATE 1.25mg AMPHETAMINE SULFATE 1.25mg
Alprazolam,"Alprazolam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It affects chemicals in the brain that may be unbalanced in people with anxiety. Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. Alprazolam may also be used for purposes not listed in this medication guide. ",Applies to the following strengths: 0.25 mg; 0.5 mg; 1 mg; 2 mg; 3 mg; 0.5 mg/5 mL; 1 mg/mL
Amitriptyline,Amitriptyline is a tricyclic antidepressant. Amitriptyline affects chemicals in the brain that may be unbalanced in people with depression. Amitriptyline is used to treat symptoms of depression. Amitriptyline may also be used for purposes not listed in this medication guide. ,Applies to the following strengths: 10 mg; 50 mg; 75 mg; 100 mg; 25 mg; 150 mg; 10 mg/mL
Amlodipine,Amlodipine is a calcium channel blocker that dilates (widens) blood vessels and improves blood flow. Amlodipine is used to treat chest pain (angina) and other conditions caused by coronary artery disease. Amlodipine is also used to treat high blood pressure (hypertension). Lowering blood pressure may lower your risk of a stroke or heart attack. ,Applies to the following strengths: 10 mg; 2.5 mg; 5 mg
Amoxicillin,"Amoxicillin is a penicillin antibiotic that fights bacteria. Amoxicillin is used to treat many different types of infection caused by bacteria, such as tonsillitis, bronchitis, pneumonia, gonorrhea, and infections of the ear, nose, throat, skin, or urinary tract. Amoxicillin is also sometimes used together with another antibiotic called clarithromycin (Biaxin) to treat stomach ulcers caused by Helicobacter pylori infection. This combination is sometimes used with a stomach acid reducer called lansoprazole (Prevacid). ",Applies to the following strengths: 250 mg; 500 mg; 125 mg/5 mL; 50 mg/mL; 250 mg/5 mL; 125 mg; 200 mg; 400 mg; 875 mg; 200 mg/5 mL; 400 mg/5 mL; 600 mg; 775 mg
Ativan,Ativan (lorazepam) belongs to a group of drugs called benzodiazepines. Lorazepam affects chemicals in the brain that may be unbalanced in people with anxiety. Ativan is used to treat anxiety disorders. Ativan may also be used for purposes not listed in this medication guide. ,LORAZEPAM 2.0mg in 1mL
Atorvastatin,"Atorvastatin is in a group of drugs called HMG CoA reductase inhibitors, or ""statins."" Atorvastatin reduces levels of ""bad"" cholesterol (low-density lipoprotein, or LDL) and triglycerides in the blood, while increasing levels of ""good"" cholesterol (high-density lipoprotein, or HDL). Atorvastatin is used to treat high cholesterol, and to lower the risk of stroke, heart attack, or other heart complications in people with type 2 diabetes, coronary heart disease, or other risk factors. Atorvastatin is used in adults and children who are at least 10 years old. ",Applies to the following strengths: 10 mg; 20 mg; 40 mg; 80 mg
Azithromycin,"Azithromycin is an antibiotic that fights bacteria. Azithromycin is used to treat many different types of infections caused by bacteria, such as respiratory infections, skin infections, ear infections, eye infections, and sexually transmitted diseases. Azithromycin may also be used for purposes not listed in this medication guide. ",Applies to the following strengths: 500 mg; 250 mg; 1 g; 600 mg; 100 mg/5 mL; 200 mg/5 mL; 2 g; 2.5 g
Ciprofloxacin,"Ciprofloxacin is a fluoroquinolone (flor-o-KWIN-o-lone) antibiotic that fights bacteria in the body. It is used to treat different types of bacterial infections, including skin infections, bone and joint infections, respiratory or sinus infections, urinary tract infections, and certain types of diarrhea. It is also used to treat gonorrhea. Ciprofloxacin is also used to treat people who have been exposed to anthrax or certain types of plague. Ciprofloxacin should be used only for infections that cannot be treated with a safer antibiotic. ",Applies to the following strengths: 100 mg; 250 mg; 500 mg; 750 mg; 200 mg/100 mL-5%; 400 mg/200 mL-5%; 250 mg/5 mL; 500 mg/5 mL; 10 mg/mL; 1000 mg
Citalopram,Citalopram is an antidepressant belonging to a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Citalopram is used to treat depression. Citalopram may also be used for purposes not listed in this medication guide. ,Applies to the following strengths: 10 mg/5 mL; 10 mg; 20 mg; 40 mg
Clindamycin,Clindamycin is an antibiotic that fights bacteria in the body. Clindamycin is used to treat serious infections caused by bacteria. Clindamycin may also be used for purposes not listed in this medication guide. ,Applies to the following strengths: 75 mg; 300 mg; 150 mg; 150 mg/mL; 75 mg/5 mL; 600 mg-5%/50 mL; 300 mg-5%/50 mL; 900 mg-5%/50 mL; 300 mg/50 mL-NaCl 0.9%; 600 mg/50 mL-NaCl 0.9%; 900 mg/50 mL-NaCl 0.9%; phosphate; hydrochloride
Clonazepam,"Clonazepam is a benzodiazepine. It affects chemicals in the brain that may be unbalanced to treat seizures and certain types of anxiety disorders. Clonazepam, a type of anti-epileptic drug, is used to treat certain seizure disorders (including absence seizures or Lennox-Gastaut syndrome) in adults and children. Clonazepam is also used to treat panic disorder (including agoraphobia) in adults. ",Applies to the following strengths: 1 mg; 0.5 mg; 2 mg; 0.25 mg; 0.125 mg
Codeine,"Codeine is an opioid pain medication, sometimes called a narcotic. Codeine is used to treat mild to moderately severe pain. Codeine may also be used for purposes not listed in this medication guide. ",Applies to the following strengths: sulfate 30 mg; sulfate 60 mg; phosphate 30 mg; phosphate 60 mg; 30 mg/mL; 60 mg/mL; 15 mg/mL; sulfate 15 mg; 15 mg/5 mL; phosphate; sulfate 30 mg/5 mL
Cyclobenzaprine,Cyclobenzaprine is a muscle relaxant. It works by blocking nerve impulses (or pain sensations) that are sent to your brain. Cyclobenzaprine is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury. Cyclobenzaprine may also be used for purposes not listed in this medication guide. ,Applies to the following strengths: 10 mg; 15 mg; 30 mg; 5 mg; 7.5 mg; 10 mg with analgesic balm
Cymbalta,"Cymbalta (duloxetine) is a selective serotonin and norepinephrine reuptake inhibitor antidepressant (SSNRI). Duloxetine affects chemicals in the brain that may be unbalanced in people with depression. Cymbalta is used to treat major depressive disorder in adults. It is also used to treat general anxiety disorder in adults and children who are at least 7 years old. Cymbalta is also used in adults to treat fibromyalgia (a chronic pain disorder), or chronic muscle or joint pain (such as low back pain and osteoarthritis pain). "," Duloxetine hydrochloride 20mg "
Doxycycline,"Doxycycline is a tetracycline antibiotic that fights bacteria in the body. Doxycycline is used to treat many different bacterial infections, such as acne, urinary tract infections, intestinal infections, respiratory infections, eye infections, gonorrhea, chlamydia, syphilis, periodontitis (gum disease), and others. Doxycycline is also used to treat blemishes, bumps, and acne-like lesions caused by rosacea. It will not treat facial redness caused by rosacea. ",Applies to the following strengths: hyclate 100 mg; hyclate 50 mg; 100 mg; 25 mg/5 mL; 50 mg/5 mL; monohydrate 150 mg; 20 mg; monohydrate 50 mg; monohydrate 75 mg; monohydrate 100 mg; hyclate 75 mg; 40 mg; hyclate 150 mg; hyclate 200 mg; 200 mg; monohydrate 150 mg tablet with cleanser; monohydrate 150 mg capsule with cleanser; 100 mg with vitamins and minerals; hyclate 100 mg capsule with cleanser; hyclate 50 mg capsule with cleanser; 120 mg; hyclate 50 mg capsule with cleanser and ocular lubricant
Gabapentin,"Gabapentin is an anti-epileptic drug, also called an anticonvulsant. It affects chemicals and nerves in the body that are involved in the cause of seizures and some types of pain. All brands of gabapentin are used in adults to treat neuropathic pain (nerve pain) caused by herpes virus or shingles (herpes zoster). The Gralise brand of gabapentin is indicated for the management of neuropathic pain only. It is not used for epilepsy. "," Applies to the following strengths: 800 mg; 600 mg; 100 mg; 300 mg; 400 mg; 250 mg/5 mL; enacarbil 600 mg; 300 mg/24 hours; 600 mg/24 hours; 300 mg/24 hours-600 mg/24 hours; enacarbil 300 mg"
Hydrochlorothiazide,"Hydrochlorothiazide is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can cause fluid retention. Hydrochlorothiazide is used to treat high blood pressure (hypertension). Hydrochlorothiazide is also used to treat fluid retention (edema) in people with congestive heart failure, cirrhosis of the liver, or kidney disorders, or edema caused by taking steroids or estrogen. ",Applies to the following strengths: 25 mg; 50 mg; 100 mg; 50 mg/5 mL; 12.5 mg
Ibuprofen,"Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Ibuprofen is used to reduce fever and treat pain or inflammation caused by many conditions such as headache, toothache, back pain, arthritis, menstrual cramps, or minor injury. Ibuprofen is used in adults and children who are at least 6 months old. ",Applies to the following strengths: 100 mg/5 mL; 800 mg; 300 mg; 600 mg; 400 mg; 200 mg; 50 mg/1.25 mL; 50 mg; 100 mg; 10 mg/mL; 100 mg/mL
Lexapro,Lexapro (escitalopram) is an antidepressant in a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Escitalopram affects chemicals in the brain that may be unbalanced in people with depression or anxiety. Lexapro is used to treat anxiety in adults. Lexapro is also used to treat major depressive disorder in adults and adolescents who are at least 12 years old. ,"ESCITALOPRAM OXALATE 5mg"
Lisinopril,"Lisinopril is an ACE inhibitor. ACE stands for angiotensin converting enzyme. Lisinopril is used to treat high blood pressure (hypertension) in adults and children who are at least 6 years old. Lisinopril is also used to treat congestive heart failure in adults, or to improve survival after a heart attack. ",Applies to the following strengths: 2.5 mg; 5 mg; 10 mg; 20 mg; 40 mg; 30 mg; 1 mg/mL
Loratadine,"Loratadine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Loratadine is used to treat sneezing, runny nose, watery eyes, hives, skin rash, itching, and other cold or allergy symptoms. Loratadine is also used to treat skin hives and itching in people with chronic skin reactions. ",Applies to the following strengths: 10 mg; 5 mg/5 mL; 5 mg
Lorazepam,Lorazepam belongs to a group of drugs called benzodiazepines. It affects chemicals in the brain that may be unbalanced in people with anxiety. Lorazepam is used to treat anxiety disorders and seizure disorders. Lorazepam may also be used for purposes not listed in this medication guide. ,Applies to the following strengths: 1 mg; 2 mg; 0.5 mg; 4 mg/mL; 2 mg/mL; 1 mg/mL-NaCl 0.9%; 1 mg/mL-D5%
Losartan,"Losartan (Cozaar) belongs to a group of drugs called angiotensin II receptor antagonists. It keeps blood vessels from narrowing, which lowers blood pressure and improves blood flow. Losartan is used to treat high blood pressure (hypertension). It is also used to lower the risk of stroke in certain people with heart disease. Losartan is used to slow long-term kidney damage in people with type 2 diabetes who also have high blood pressure. ",Applies to the following strengths: 25 mg; 50 mg; 100 mg
Lyrica,"Lyrica (pregabalin) was originally FDA approved as an anti-epileptic drug, also called an anticonvulsant. It works by slowing down impulses in the brain that cause seizures. Pregabalin also affects chemicals in the brain that send pain signals across the nervous system. Lyrica is used to treat pain caused by fibromyalgia, or nerve pain in people with diabetes (diabetic neuropathy), herpes zoster (post-herpetic neuralgia), or spinal cord injury. Lyrica may also be used for purposes not listed in this medication guide. ",PREGABALIN 25mg
Meloxicam,Meloxicam is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Meloxicam is used to treat pain or inflammation caused by rheumatoid arthritis and osteoarthritis in adults. Meloxicam is also used to treat juvenile rheumatoid arthritis in children who are at least 2 years old. ,Applies to the following strengths: 7.5 mg; 15 mg; 7.5 mg/5 mL; 5 mg; 10 mg
Metformin,"Metformin is an oral diabetes medicine that helps control blood sugar levels. Metformin is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus. Metformin is sometimes used together with insulin or other medications, but it is not for treating type 1 diabetes. ",Applies to the following strengths: 500 mg; 750 mg; 850 mg; 1000 mg; 500 mg/5 mL
Metoprolol,Metoprolol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins). Metoprolol is used to treat angina (chest pain) and hypertension (high blood pressure). Metoprolol is also used to lower your risk of death or needing to be hospitalized for heart failure. ,Applies to the following strengths: 1 mg/mL; 50 mg; 100 mg; 25 mg; 200 mg; 37.5 mg; 75 mg; 10 mg/mL
Naproxen,"Naproxen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Naproxen is used to treat pain or inflammation caused by conditions such as arthritis, ankylosing spondylitis, tendinitis, bursitis, gout, or menstrual cramps. It can also be used to treat acute pain caused by other conditions not listed in this medication guide. The delayed-release or extended-release tablets are slower-acting forms of naproxen that are used only for treating chronic conditions such as arthritis or ankylosing spondylitis. These forms will not work fast enough to treat acute pain. ",Applies to the following strengths: 125 mg/5 mL; sodium 550 mg; sodium 275 mg; 500 mg; 375 mg; 250 mg; 375 mg (as sodium); 500 mg (as sodium); sodium 220 mg; sodium; 750 mg (as sodium); 500 mg with analgesic balm; sodium varying strength
Omeprazole,Omeprazole is a proton pump inhibitor that decreases the amount of acid produced in the stomach. Omeprazole is used to treat symptoms of gastroesophageal reflux disease (GERD) and other conditions caused by excess stomach acid. It is also used to promote healing of erosive esophagitis (damage to your esophagus caused by stomach acid). Omeprazole may also be given together with antibiotics to treat gastric ulcer caused by infection with Helicobacter pylori (H. pylori). ,Applies to the following strengths: 20 mg; 10 mg; 40 mg; 2.5 mg; 2 mg/mL
Oxycodone,Oxycodone is an opioid pain medication sometimes called a narcotic. Oxycodone is used to treat moderate to severe pain. The extended-release form of oxycodone is for around-the-clock treatment of pain and should not be used on an as-needed basis for pain. ,Applies to the following strengths: 5 mg/5 mL; 20 mg/mL; 5 mg; 15 mg; 30 mg; 10 mg; 20 mg; 40 mg; 80 mg; 60 mg; 9 mg; 13.5 mg; 18 mg; 27 mg; 36 mg; 160 mg; 7.5 mg
Pantoprazole,"Pantoprazole is a proton pump inhibitor that decreases the amount of acid produced in the stomach. Pantoprazole is used to treat erosive esophagitis (damage to the esophagus from stomach acid caused by gastroesophageal reflux disease, or GERD) in adults and children who are at least 5 years old. Pantoprazole is usually given for up to 8 weeks at a time while your esophagus heals. Pantoprazole is also used to treat Zollinger-Ellison syndrome and other conditions involving excess stomach acid. ",Applies to the following strengths: 40 mg; 20 mg
Prednisone,"Prednisone is a corticosteroid. It prevents the release of substances in the body that cause inflammation. It also suppresses the immune system. Prednisone is used as an anti-inflammatory or an immunosuppressant medication. Prednisone treats many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders. Prednisone treats many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders. ",Applies to the following strengths: 50 mg; 2.5 mg; 5 mg; 20 mg; 10 mg; 1 mg; 5 mg/mL; 5 mg/5 mL; 2 mg
Tramadol,Tramadol is a narcotic-like pain reliever. Tramadol is used to treat moderate to severe pain in adults. The extended-release form of tramadol is for around-the-clock treatment of pain. The extended-release form of tramadol is not for use on an as-needed basis for pain. ,Applies to the following strengths: 50 mg; 100 mg/24 hours; 200 mg/24 hours; 300 mg/24 hours; 150 mg/24 hours
Trazodone,"Trazodone is an antidepressant medicine. It affects chemicals in the brain that may be unbalanced in people with depression. Trazodone is used to treat major depressive disorder. It may help to improve your mood, appetite, and energy level as well as decrease anxiety and insomnia related to depression. Trazodone works by helping to restore the balance of a certain natural chemical (serotonin) in the brain. ",Applies to the following strengths: 50 mg; 100 mg; 150 mg; 300 mg
Viagra,"Viagra (sildenafil) relaxes muscles found in the walls of blood vessels and increases blood flow to particular areas of the body. Viagra is used to treat erectile dysfunction (impotence) in men. Another brand of sildenafil is Revatio, which is used to treat pulmonary arterial hypertension and improve exercise capacity in men and women. This page contains specific information for Viagra, not Revatio. Do not take Viagra while also taking Revatio, unless your doctor tells you to. ","SILDENAFIL CITRATE 25mg"
Wellbutrin,"The Wellbutrin brand name has been discontinued in the U.S. If generic versions of this product have been approved by the FDA, there may be generic equivalents available. Wellbutrin (bupropion) is an antidepressant medication used to treat major depressive disorder and seasonal affective disorder. Wellbutrin may also be used for purposes not listed in this medication guide. ",BUPROPION HYDROCHLORIDE 75mg
Xanax,"Xanax (alprazolam) is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). Alprazolam affects chemicals in the brain that may be unbalanced in people with anxiety. Xanax is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. Xanax may also be used for purposes not listed in this medication guide. ",ALPRAZOLAM 0.25mg
Zoloft,"Zoloft (sertraline) is an antidepressant belonging to a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Sertraline affects chemicals in the brain that may be unbalanced in people with depression, panic, anxiety, or obsessive-compulsive symptoms. Zoloft is used to treat depression, obsessive-compulsive disorder, panic disorder, anxiety disorders, post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD). Zoloft may also be used for purposes not listed in this medication guide. ","SERTRALINE HYDROCHLORIDE 25mg"
